iter	Passed	Remaining
0	70	70643
1	71	35910
2	72	24198
3	73	18334
4	74	14820
5	75	12474
6	76	10798
7	76	9542
8	77	8564
9	78	7780
10	86	7818
11	87	7218
12	88	6703
13	89	6295
14	90	5941
15	91	5629
16	93	5394
17	94	5157
18	95	4937
19	96	4741
20	97	4560
21	98	4396
22	100	4248
23	101	4110
24	102	3983
25	103	3866
26	104	3758
27	105	3657
28	106	3570
29	107	3471
30	107	3375
31	108	3290
32	109	3206
33	109	3124
34	110	3054
35	111	2988
36	112	2926
37	113	2862
38	113	2805
39	114	2756
40	115	2705
41	117	2669
42	117	2621
43	118	2579
44	119	2532
45	119	2486
46	120	2444
47	121	2405
48	122	2369
49	123	2340
50	123	2305
51	124	2270
52	125	2240
53	127	2228
54	128	2203
55	128	2173
56	129	2144
57	130	2114
58	130	2086
59	131	2057
60	132	2032
61	132	2005
62	133	1983
63	134	1966
64	135	1947
65	135	1924
66	136	1902
67	137	1880
68	139	1878
69	140	1860
70	140	1841
71	141	1822
72	142	1803
73	143	1790
74	144	1776
75	145	1762
76	145	1749
77	146	1734
78	147	1720
79	148	1706
80	149	1691
81	149	1677
82	150	1658
83	150	1644
84	151	1632
85	152	1621
86	153	1608
87	154	1598
88	154	1586
89	156	1577
90	156	1565
91	157	1555
92	158	1549
93	159	1539
94	160	1527
95	160	1516
96	161	1505
97	162	1494
98	163	1485
99	164	1476
100	164	1468
101	165	1459
102	166	1453
103	167	1446
104	168	1438
105	169	1429
106	170	1420
107	171	1412
108	172	1406
109	172	1399
110	173	1392
111	174	1384
112	175	1378
113	176	1369
114	177	1368
115	178	1360
116	179	1350
117	179	1344
118	180	1335
119	180	1326
120	181	1317
121	182	1311
122	183	1306
123	184	1301
124	184	1294
125	185	1287
126	186	1279
127	186	1273
128	187	1269
129	188	1262
130	189	1257
131	190	1251
132	191	1245
133	191	1240
134	192	1234
135	193	1227
136	193	1222
137	194	1216
138	195	1211
139	196	1206
140	197	1201
141	197	1194
142	198	1191
143	199	1185
144	200	1180
145	201	1176
146	201	1171
147	202	1166
148	203	1161
149	204	1156
150	204	1151
151	205	1147
152	206	1142
153	207	1137
154	207	1132
155	208	1127
156	209	1123
157	209	1118
158	210	1113
159	211	1108
160	211	1102
161	212	1098
162	213	1094
163	213	1090
164	214	1086
165	215	1082
166	216	1078
167	217	1075
168	217	1071
169	218	1068
170	219	1064
171	220	1061
172	221	1057
173	222	1054
174	222	1050
175	223	1046
176	224	1042
177	225	1039
178	226	1036
179	226	1033
180	228	1033
181	229	1030
182	230	1027
183	230	1023
184	231	1020
185	232	1016
186	232	1012
187	233	1009
188	234	1006
189	235	1003
190	236	1001
191	237	997
192	237	994
193	238	992
194	239	989
195	240	986
196	241	983
197	242	981
198	243	978
199	243	975
200	244	972
201	245	969
202	246	966
203	246	963
204	247	961
205	248	958
206	249	955
207	250	952
208	250	948
209	251	945
210	252	943
211	252	940
212	253	937
213	254	934
214	255	931
215	255	928
216	256	926
217	257	924
218	258	921
219	259	918
220	260	918
221	261	916
222	262	913
223	262	911
224	263	908
225	264	906
226	265	903
227	266	903
228	267	900
229	268	898
230	269	895
231	269	892
232	270	890
233	271	887
234	272	885
235	272	882
236	273	879
237	274	877
238	274	874
239	275	872
240	276	869
241	277	867
242	278	866
243	278	863
244	279	860
245	279	857
246	280	855
247	281	853
248	282	850
249	282	848
250	283	846
251	284	843
252	285	841
253	285	839
254	286	836
255	286	833
256	287	831
257	288	830
258	289	828
259	290	826
260	290	823
261	291	821
262	291	818
263	292	816
264	293	814
265	294	811
266	294	809
267	295	806
268	296	804
269	296	802
270	297	800
271	298	798
272	298	795
273	299	793
274	300	791
275	300	788
276	301	786
277	302	785
278	303	783
279	303	781
280	304	780
281	305	778
282	306	776
283	307	774
284	307	771
285	308	769
286	308	767
287	309	765
288	310	763
289	310	761
290	311	759
291	312	757
292	313	755
293	313	753
294	314	751
295	315	749
296	315	747
297	316	745
298	317	743
299	317	741
300	318	740
301	319	738
302	320	736
303	321	734
304	321	732
305	322	730
306	323	729
307	323	727
308	324	725
309	324	723
310	325	721
311	326	720
312	327	718
313	327	716
314	328	714
315	329	712
316	330	711
317	330	709
318	331	707
319	331	705
320	332	703
321	333	701
322	334	700
323	334	698
324	335	696
325	336	694
326	336	693
327	337	691
328	338	689
329	338	687
330	339	685
331	339	683
332	340	681
333	341	680
334	341	678
335	342	676
336	343	675
337	344	673
338	344	672
339	345	670
340	346	668
341	346	667
342	347	665
343	348	663
344	349	662
345	349	660
346	350	659
347	350	657
348	351	655
349	352	654
350	352	652
351	353	650
352	354	649
353	354	647
354	355	645
355	356	644
356	356	642
357	357	641
358	358	640
359	359	638
360	359	637
361	360	635
362	361	634
363	362	632
364	362	631
365	363	629
366	363	627
367	364	626
368	365	624
369	365	623
370	366	621
371	367	620
372	367	618
373	368	617
374	369	615
375	369	613
376	370	612
377	371	610
378	371	609
379	372	607
380	372	605
381	373	604
382	374	602
383	374	601
384	375	599
385	376	598
386	376	596
387	377	595
388	378	593
389	378	592
390	379	590
391	380	589
392	380	587
393	381	586
394	382	585
395	382	583
396	383	582
397	384	581
398	385	580
399	385	578
400	386	577
401	387	576
402	387	574
403	388	573
404	389	571
405	389	570
406	390	568
407	390	567
408	391	565
409	392	564
410	392	562
411	393	561
412	394	560
413	394	558
414	395	557
415	396	556
416	396	554
417	397	553
418	398	552
419	398	550
420	399	549
421	400	548
422	401	547
423	401	546
424	402	544
425	403	543
426	403	542
427	404	540
428	405	539
429	406	538
430	406	536
431	407	535
432	407	534
433	408	533
434	409	531
435	409	530
436	410	528
437	411	527
438	412	526
439	412	525
